Id,Label,Count
青灵子,青灵子,14
西狂,西狂,5
林平之,林平之,926
郑镖头,郑镖头,30
白二,白二,21
陈七,陈七,23
林少镖头,林少镖头,6
林震南,林震南,245
王元霸,王元霸,63
于人豪,于人豪,37
余沧海,余沧海,377
刘正风,刘正风,264
莫大先生,莫大先生,153
王二叔,王二叔,6
天门真人,天门真人,4
陆大有,陆大有,205
劳德诺,劳德诺,229
罗人杰,罗人杰,49
长青子,长青子,16
林远图,林远图,23
余人彦,余人彦,6
梁发,梁发,26
施戴子,施戴子,27
令狐冲,令狐冲,5029
仪琳,仪琳,714
田伯光,田伯光,687
天松道人,天松道人,8
向大年,向大年,18
米为义,米为义,12
天门道人,天门道人,82
岳先生,岳先生,156
申人俊,申人俊,13
木高峰,木高峰,180
岳不群,岳不群,1184
曲非烟,曲非烟,125
陶钧,陶钧,2
英白罗,英白罗,4
岳灵珊,岳灵珊,919
夏老拳师,夏老拳师,2
左盟主,左盟主,73
史登达,史登达,23
万大平,万大平,2
左冷禅,左冷禅,473
曲洋,曲洋,60
陆伯,陆伯,1
刘菁,刘菁,2
刘芹,刘芹,13
舒奇,舒奇,4
宁中则,宁中则,3
宁女侠,宁女侠,10
风清扬,风清扬,117
平一指,平一指,104
桃根仙,桃根仙,159
桃干仙,桃干仙,121
桃枝仙,桃枝仙,155
桃叶仙,桃叶仙,73
桃实仙,桃实仙,131
桃花仙,桃花仙,142
鲁连荣,鲁连荣,12
不戒和尚,不戒和尚,73
英颚,英颚,10
王伯奋,王伯奋,19
王仲强,王仲强,22
王家驹,王家驹,22
王家骏,王家骏,23
易师爷,易师爷,27
绿竹翁,绿竹翁,84
岳姑娘,岳姑娘,27
平夫人,平夫人,3
祖千秋,祖千秋,188
蓝凤凰,蓝凤凰,103
游迅,游迅,84
严三星,严三星,25
西宝,西宝,2
玉灵道人,玉灵道人,27
司马大,司马大,20
谭迪人,谭迪人,7
辛国梁,辛国梁,23
易国梓,易国梓,19
圣姑,圣姑,106
向问天,向问天,514
天乙道人,天乙道人,8
乐厚,乐厚,37
施令威,施令威,19
秃笔翁,秃笔翁,100
任我行,任我行,524
鲍大楚,鲍大楚,71
王诚,王诚,6
桑三娘,桑三娘,18
吴天德,吴天德,8
仪和,仪和,208
仪清,仪清,116
郑萼,郑萼,78
于嫂,于嫂,36
钟镇,钟镇,71
小宝,小宝,115
卜沉,卜沉,5
沙天江,沙天江,4
易堂主,易堂主,1
齐堂主,齐堂主,1
向左使,向左使,11
震山子,震山子,3
上官云,上官云,107
杨莲亭,杨莲亭,104
童百熊,童百熊,58
玉玑子,玉玑子,67
玉磬子,玉磬子,22
玉音子,玉音子,41
麻衣汉子,麻衣汉子,5
任盈盈,任盈盈,3
哑婆婆,哑婆婆,26
周孤桐,周孤桐,3
吴柏英,吴柏英,4
玉钟子,玉钟子,7
郑旦,郑旦,1
阿青,阿青,63
戚长发,戚长发,115
卜垣,卜垣,50
狄云,狄云,1044
戚芳,戚芳,352
言达平,言达平,114
万震山,万震山,332
周圻,周圻,57
吕通,吕通,31
吕威,吕威,2
鲁坤,鲁坤,44
万圭,万圭,288
孙均,孙均,29
吴坎,吴坎,149
冯坦,冯坦,15
沈城,沈城,44
丁典,丁典,353
枭道人,枭道人,3
宝象,宝象,110
善勇,善勇,4
胜谛,胜谛,3
凌霜华,凌霜华,3
凌退思,凌退思,33
梅念笙,梅念笙,12
侯景,侯景,1
菊友,菊友,7
马大鸣,马大鸣,17
耿天霸,耿天霸,19
水福,水福,7
汪啸风,汪啸风,103
水笙,水笙,412
血刀老祖,血刀老祖,144
水岱,水岱,102
北四怪,北四怪,2
刘乘风,刘乘风,28
花铁干,花铁干,256
陆天抒,陆天抒,35
雪山飞狐,雪山飞狐,11
胡斐,胡斐,2143
平阿四,平阿四,64
陶百岁,陶百岁,81
刘元鹤,刘元鹤,107
苗若兰,苗若兰,221
袁紫衣,袁紫衣,427
程灵素,程灵素,767
苗人凤,苗人凤,534
胡大侠,胡大侠,15
田归农,田归农,257
杜希孟,杜希孟,36
平四,平四,21
田青文,田青文,105
周云阳,周云阳,41
熊元献,熊元献,49
曹云奇,曹云奇,229
苗大侠,苗大侠,193
胡一刀,胡一刀,281
赛总管,赛总管,82
范帮主,范帮主,83
殷吉,殷吉,72
于管家,于管家,44
陶子安,陶子安,107
郑三娘,郑三娘,48
阎基,阎基,116
静智大师,静智大师,3
马春花,马春花,331
马行空,马行空,151
徐铮,徐铮,217
商宝震,商宝震,217
何思豪,何思豪,50
补锅匠,补锅匠,32
南仁通,南仁通,24
蒋调侯,蒋调侯,9
